Position,esearcher,rofessor,ssociat,nvestigat,ssistant,ellow,ecturer,ostdoct,ead,eacher,ttending,eaching,cientist,irector,rof.,pecialist,Prof
Ph.D,PhD,Ph.,Dr.,octor,ph.d,phd,,,,,,,,,,,
Master,MSc,raduate,aster,M.,MA,,,,,,,,,,,,
Bachelor,BSc,B.,BA,achelor,BSc,,,,,,,,,,,,
