OrgID,OrgLocationCountry,OrgLocationDetails,OrgName,OrgType,Stay,Leave,Total,Rate,Region
https://ror.org/02rg1r889,NP,Kathmandu,Tribhuvan University,education,4,9,13,0.307692308,Asia
https://ror.org/036xnae80,NP,Kathmandu,Kathmandu University,education,1,4,5,0.2,Asia
https://ror.org/02hqkr514,PH,Quezon City,University of the Philippines System,education,0,6,6,0,Asia
https://ror.org/01tgyzw49,SG,Singapore,National University of Singapore,education,122,109,231,0.528138528,Asia
https://ror.org/02e7b5302,SG,Singapore,Nanyang Technological University,education,53,132,185,0.286486486,Asia
https://ror.org/01znkr924,TH,Bangkok,Mahidol University,education,2,2,4,0.5,Asia
https://ror.org/0403qcr87,TH,Pathum Thani,Asian Institute of Technology,education,10,22,32,0.3125,Asia
https://ror.org/05m2fqn25,TH,Chiang Mai,Chiang Mai University,education,0,4,4,0,Asia
https://ror.org/00cn92c09,TW,Taipei,National Taipei University of Technology,education,4,2,6,0.666666667,Asia
https://ror.org/00q09pe49,TW,Taipei,National Taiwan University of Science and Technology,education,1,4,5,0.2,Asia
https://ror.org/05bqach95,TW,Taipei,National Taiwan University,education,3,16,19,0.157894737,Asia
https://ror.org/054kvr030,TW,Taipei,University System of Taiwan,education,0,14,14,0,Asia
https://ror.org/00v408z34,TW,Taichung,China Medical University,education,0,6,6,0,Asia
https://ror.org/02qsmb048,RS,Belgrade,University of Belgrade,education,0,4,4,0,Axis power
https://ror.org/010pmpe69,RU,Moscow,Lomonosov Moscow State University,education,4,4,8,0.5,Axis power
https://ror.org/055f7t516,RU,Moscow,National Research University Higher School of Economics,education,2,4,6,0.333333333,Axis power
https://ror.org/023znxa73,RU,Saint Petersburg,St Petersburg University,education,1,4,5,0.2,Axis power
https://ror.org/054pv6659,AT,Innsbruck,Universität Innsbruck,education,2,7,9,0.222222222,EU/EEA/CH
https://ror.org/02zx40v98,AT,Vienna,Central European University,education,0,5,5,0,EU/EEA/CH
https://ror.org/006e5kg04,BE,Brussels,Vrije Universiteit Brussel,education,4,5,9,0.444444444,EU/EEA/CH
https://ror.org/05f950310,BE,Leuven,KU Leuven,education,25,42,67,0.373134328,EU/EEA/CH
https://ror.org/00cv9y106,BE,Ghent,Ghent University,education,6,38,44,0.136363636,EU/EEA/CH
https://ror.org/04wffgt70,BR,Campinas,Universidade Estadual de Campinas (UNICAMP),education,2,2,4,0.5,EU/EEA/CH
https://ror.org/04cwrbc27,BR,São Paulo,Hospital Israelita Albert Einstein,healthcare,0,6,6,0,EU/EEA/CH
https://ror.org/007ygn379,CH,Genève,Graduate Institute of International and Development Studies,education,8,4,12,0.666666667,EU/EEA/CH
https://ror.org/01rvn4p91,CH,Zurich,Board of the Swiss Federal Institutes of Technology,government,80,41,121,0.661157025,EU/EEA/CH
https://ror.org/02crff812,CH,Zurich,University of Zurich,education,7,6,13,0.538461538,EU/EEA/CH
https://ror.org/01swzsf04,CH,Geneva,University of Geneva,education,4,6,10,0.4,EU/EEA/CH
https://ror.org/024d6js02,CZ,Prague,Charles University,education,0,5,5,0,EU/EEA/CH
https://ror.org/03kqpb082,CZ,Prague,Czech Technical University in Prague,education,0,5,5,0,EU/EEA/CH
